category,account,count
0,askjaiuk,19
0,pvsindhu1,18
0,shaifali_halwai,17
0,phanindranarsetti,17
1,meme_raaja,1124
1,filmyfocus,878
1,fukkard,745
1,capdt,627
1,babunuvubtechah,422
1,strictlyformenofficial,412
1,sarcastic_us,403
1,silly_fellows_,385
1,instantbollywood,342
1,log.kya.kahenge,323
1,relangimavayya__,286
1,saripodha.eememe,235
1,meeru_ante_artistlu_bro,213
1,quarantine_memes_3,211
1,ghantaa,177
1,yoo__bros,161
1,rashu_dobriyal,160
1,thebackbenchrs,136
1,naughtyworld,121
1,edho_try_chesam,111
1,strictlyforindian,99
1,chaibisket,87
1,dr.baalii,86
1,fridaycritics,82
1,sipp_smart,75
1,frontlinesmedia,75
1,nenuloco,72
1,trolls_official,67
1,theadultindia,65
1,thevamshikurapati,64
1,srivenkateswaracreations,63
1,janasenaparty,61
1,business_news_telugu,58
1,gopihappy2,56
1,harshaisavailable341,53
1,vegfriedmomo,50
1,rishi_thaa4,47
1,nri_confessions,44
1,factbygooogle,43
1,achuthnandha_jv,43
1,prasanthvarmaofficial,43
1,srirams_chronicles,42
1,frontlinesmedia_ignited_minds,41
1,loveda.memes,41
1,charanlakkaraju,39
1,spandana04,37
1,memers_of_cvr,37
1,_supritha_9,37
1,dear._deepu,35
1,sameerabharadwaj,34
1,nris_adda,34
1,royalchallengers.bengaluru,34
1,confused.aatma,33
1,chaithrataratwinstories,33
1,manalo_mana_.maata,33
1,chillarboys,33
1,shreyadhan13,33
1,america_baadhalu,32
1,actordivi,32
1,sahithi_sharma,32
1,mightbevivek,31
1,viraajita,30
1,gaurav_kaizoku,30
1,cheekatlo_suryudu_,30
1,loudbrowngirll,30
1,veedu_evadandi_babu,29
1,nenu_degree_nayana,29
1,pythonlifetelugu,29
1,nameisnani,29
1,unprofessional_fellow,29
1,eeshablogs,28
1,vishwaksens,28
1,_poojj,27
1,movies4u_official,27
1,shalini_kondepudi,26
1,ala_cvr_lo,26
1,high.on.weed,26
1,boyformulabychaibisket,26
1,alankritashah,25
1,actorguru_official,25
1,ra_hasyam_,25
1,keerthysureshofficial,25
1,ai.with.arthisha,24
1,priyankaamohanofficial,24
1,babloo_cheee,24
1,gamechanger_offl,24
1,viralsarcasm,24
1,_srilasya._,24
1,cinesithram,23
1,figuringout__,23
1,memes_maa_lokam,23
1,itsme_bhagavathi,23
1,naa.peru_mukesh,23
1,content_kavala_babu_,22
1,lavangamofficial,22
1,tolly_boxoffice,22
1,kadali_sathyanarayana,22
1,raji.sharma.k,21
1,nithyamenen,21
1,geekydev.in,21
1,lumi.ai_,21
1,sandeepraaaj,21
1,studenttribe.st,21
1,pubity,21
1,renilkomitla,21
1,avaxreyess,20
1,kaushiknc,20
1,prempalthya,20
1,memes_baktulam,20
1,navvandirababuofficial,20
1,kobbarinune_,20
1,mahathalli,19
1,mirchirjsaran,19
1,i_nivethathomas,19
1,kothajanta2025,19
1,jobwala_usa,19
1,midhuladevabhaktuni,19
1,psychollogist,19
1,addicted_to__memes,19
1,masters_kashtalu,19
1,adivisesh,18
1,america_lo_desi_muchatlu,18
1,humorous_hari,18
1,bhanu.pravadanvita,18
1,girlzfactsofficial,18
1,gayatri_ravada,18
1,neku_saavey_ra,18
1,meghaalalo,17
1,pioneerdiningeb,17
1,divija_prabhakar,17
1,deekshamehta13,17
1,just_like_that_vdh,17
1,iamsai000,17
1,wasted,17
1,crazziee_stuff3.0,17
1,_explore_with_krish_,17
1,akhila_kv,17
1,vintage_telugu_memes,17
1,niihaaarrrr,17
1,komaleeprasad,17
1,ketikasharma,17
1,praharshaa__,16
1,unemployed.muthyam,16
1,memezar,16
1,sripriyaiduri,16
1,movieswithasra,16
1,thelazylearning,16
1,photriyavenky,16
1,alwaysramcharan,16
1,actorsatyadev,16
1,frustrated.abbayi_,16
1,girlformula,16
1,thugs.freakout,16
1,drivetube._,15
1,iamsamyuktha_,15
1,stephenbhanu,15
1,singles_stuff2.0,15
1,kaykaykamal,15
1,filmfanaticclub,15
1,csuebanalytics,15
1,im_ksudha,15
1,darshinis__,15
1,kavya_kalyanram,15
1,nri_kathalu,15
1,sri_krishna_arjuna,15
1,eti.deenikeh,15
1,cheppanu_brother_,15
1,venkatology,15
1,_beingsuku_,14
1,jois_archie,14
1,cinema.positivity,14
1,cine__muchatlu,14
1,_mr.raj_e_s_h__,14
1,nayanthara,14
1,dha_navvi_po,14
1,yichi_padesta,14
1,meghana_tiyyali,14
1,memes.chesthunta_2.0,14
1,par_vathy,14
1,raogaru._,13
